Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100200-2a3887e159
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.3.0.2a3887e159
GemmAndBiasTunableOp_float_TN,tn_2_60_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0104998
GemmAndBiasTunableOp_float_TN,tn_4_60_128_ld_128_128_4,Gemm_Hipblaslt_1284,0.0105996
GemmAndBiasTunableOp_float_TN,tn_256_4_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.0324716
GemmAndBiasTunableOp_float_TN,tn_2_4_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0137302
GemmAndBiasTunableOp_float_TN,tn_4_4_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0136389
GemmAndBiasTunableOp_float_TN,tn_10_4_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0133832
GemmAndBiasTunableOp_float_TN,tn_128_6_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0198178
GemmAndBiasTunableOp_float_TN,tn_2_6_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0106329
GemmAndBiasTunableOp_float_TN,tn_4_6_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0106906
GemmAndBiasTunableOp_float_TN,tn_128_18_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0194227
GemmAndBiasTunableOp_float_TN,tn_2_18_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0105319
GemmAndBiasTunableOp_float_TN,tn_4_18_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0105587
GemmAndBiasTunableOp_float_TN,tn_128_91_576_ld_576_576_128,Gemm_Hipblaslt_1284,0.0212918
GemmAndBiasTunableOp_float_TN,tn_2_91_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0103183
GemmAndBiasTunableOp_float_TN,tn_4_91_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0104401
GemmAndBiasTunableOp_float_TN,tn_128_41_576_ld_576_576_128,Gemm_Hipblaslt_1284,0.0201504
GemmAndBiasTunableOp_float_TN,tn_2_41_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0104589
GemmAndBiasTunableOp_float_TN,tn_4_41_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0105579
GemmAndBiasTunableOp_float_TN,tn_128_59_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0232899
GemmAndBiasTunableOp_float_TN,tn_2_59_128_ld_128_128_2,Gemm_Hipblaslt_1284,0.0104758
GemmAndBiasTunableOp_float_TN,tn_4_59_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0105852
GemmAndBiasTunableOp_float_TN,tn_128_61_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0208381
GemmAndBiasTunableOp_float_TN,tn_2_61_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0104753
GemmAndBiasTunableOp_float_TN,tn_4_61_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0105505
GemmAndBiasTunableOp_float_TN,tn_128_155_576_ld_576_576_128,Gemm_Hipblaslt_1284,0.0265544
GemmAndBiasTunableOp_float_TN,tn_2_155_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0103992
GemmAndBiasTunableOp_float_TN,tn_4_155_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0104136
GemmAndBiasTunableOp_float_TN,tn_256_90_1152_ld_1152_1152_256,Gemm_Hipblaslt_1285,0.0416081
GemmAndBiasTunableOp_float_TN,tn_2_90_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0132433
GemmAndBiasTunableOp_float_TN,tn_4_90_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0130206
GemmAndBiasTunableOp_float_TN,tn_10_90_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0127637
GemmAndBiasTunableOp_float_TN,tn_128_458_576_ld_576_576_128,Gemm_Hipblaslt_1285,0.0358328
GemmAndBiasTunableOp_float_TN,tn_2_458_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0103022
GemmAndBiasTunableOp_float_TN,tn_4_458_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0103431
GemmAndBiasTunableOp_float_TN,tn_256_6_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.0323033
